Program started...
Building Faulty versions for project biojava
Building next faulty Version biojava-206 with 3 faults, 297 failures, 390 passing Test Cases and 3367 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-22.xml
Building next faulty Version biojava-207 with 4 faults, 52 failures, 586 passing Test Cases and 2199 relevant methods.
Building next faulty Version biojava-208 with 4 faults, 174 failures, 472 passing Test Cases and 3200 relevant methods.
Building next faulty Version biojava-209 with 4 faults, 117 failures, 524 passing Test Cases and 2995 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-23.xml
Building next faulty Version biojava-210 with 5 faults, 18 failures, 620 passing Test Cases and 1939 relevant methods.
Building next faulty Version biojava-211 with 5 faults, 239 failures, 444 passing Test Cases and 3084 relevant methods.
Building next faulty Version biojava-212 with 5 faults, 88 failures, 553 passing Test Cases and 2971 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-24.xml
Building next faulty Version biojava-213 with 6 faults, 147 failures, 491 passing Test Cases and 3013 relevant methods.
Building next faulty Version biojava-214 with 6 faults, 98 failures, 540 passing Test Cases and 3070 relevant methods.
Building next faulty Version biojava-215 with 6 faults, 286 failures, 395 passing Test Cases and 3640 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-25.xml
Building next faulty Version biojava-216 with 7 faults, 55 failures, 583 passing Test Cases and 2426 relevant methods.
Building next faulty Version biojava-217 with 7 faults, 31 failures, 606 passing Test Cases and 2408 relevant methods.
Building next faulty Version biojava-218 with 7 faults, 60 failures, 581 passing Test Cases and 2418 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-26.xml
Building next faulty Version biojava-219 with 8 faults, 84 failures, 595 passing Test Cases and 2636 relevant methods.
Building next faulty Version biojava-220 with 8 faults, 25 failures, 613 passing Test Cases and 1695 relevant methods.
Building next faulty Version biojava-221 with 8 faults, 104 failures, 541 passing Test Cases and 2863 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-27.xml
Building next faulty Version biojava-222 with 9 faults, 55 failures, 632 passing Test Cases and 2819 relevant methods.
Building next faulty Version biojava-223 with 9 faults, 40 failures, 610 passing Test Cases and 2704 relevant methods.
Building next faulty Version biojava-224 with 9 faults, 28 failures, 611 passing Test Cases and 2396 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-28.xml
Building next faulty Version biojava-225 with 10 faults, 79 failures, 560 passing Test Cases and 2888 relevant methods.
Building next faulty Version biojava-226 with 10 faults, 17 failures, 626 passing Test Cases and 1564 relevant methods.
Building next faulty Version biojava-227 with 10 faults, 147 failures, 499 passing Test Cases and 3262 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-29.xml
Building next faulty Version biojava-228 with 11 faults, 101 failures, 582 passing Test Cases and 2829 relevant methods.
Building next faulty Version biojava-229 with 11 faults, 252 failures, 393 passing Test Cases and 3450 relevant methods.
Building next faulty Version biojava-230 with 11 faults, 40 failures, 609 passing Test Cases and 2472 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-30.xml
Building next faulty Version biojava-231 with 12 faults, 80 failures, 559 passing Test Cases and 2947 relevant methods.
Building next faulty Version biojava-232 with 12 faults, 102 failures, 537 passing Test Cases and 2999 relevant methods.
Building next faulty Version biojava-233 with 12 faults, 62 failures, 581 passing Test Cases and 3124 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-31.xml
Building next faulty Version biojava-234 with 13 faults, 159 failures, 524 passing Test Cases and 3190 relevant methods.
Building next faulty Version biojava-235 with 13 faults, 60 failures, 582 passing Test Cases and 2490 relevant methods.
Building next faulty Version biojava-236 with 13 faults, 53 failures, 589 passing Test Cases and 2577 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-32.xml
Building next faulty Version biojava-237 with 14 faults, 36 failures, 611 passing Test Cases and 2813 relevant methods.
Building next faulty Version biojava-238 with 14 faults, 78 failures, 567 passing Test Cases and 3098 relevant methods.
