Program started...
Building Faulty versions for project javaparser
Building next faulty Version javaparser-146 with 15 faults, 109 failures, 960 passing Test Cases and 2553 relevant methods.
Building next faulty Version javaparser-147 with 15 faults, 637 failures, 432 passing Test Cases and 2949 relevant methods.
Building next faulty Version javaparser-148 with 15 faults, 87 failures, 982 passing Test Cases and 2565 relevant methods.
Building next faulty Version javaparser-149 with 15 faults, 257 failures, 812 passing Test Cases and 2657 relevant methods.
Building next faulty Version javaparser-150 with 15 faults, 212 failures, 857 passing Test Cases and 2668 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-15.xml
Building next faulty Version javaparser-151 with 16 faults, 112 failures, 957 passing Test Cases and 2548 relevant methods.
Building next faulty Version javaparser-152 with 16 faults, 345 failures, 724 passing Test Cases and 2814 relevant methods.
Building next faulty Version javaparser-153 with 16 faults, 250 failures, 819 passing Test Cases and 2699 relevant methods.
Building next faulty Version javaparser-154 with 16 faults, 75 failures, 994 passing Test Cases and 2518 relevant methods.
Building next faulty Version javaparser-155 with 16 faults, 622 failures, 447 passing Test Cases and 3005 relevant methods.
Building next faulty Version javaparser-156 with 16 faults, 213 failures, 856 passing Test Cases and 2653 relevant methods.
Building next faulty Version javaparser-157 with 16 faults, 75 failures, 994 passing Test Cases and 2453 relevant methods.
Building next faulty Version javaparser-158 with 16 faults, 124 failures, 945 passing Test Cases and 2494 relevant methods.
Building next faulty Version javaparser-159 with 16 faults, 176 failures, 893 passing Test Cases and 2653 relevant methods.
Building next faulty Version javaparser-160 with 16 faults, 312 failures, 757 passing Test Cases and 2680 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-16.xml
Building next faulty Version javaparser-161 with 17 faults, 129 failures, 940 passing Test Cases and 2598 relevant methods.
Building next faulty Version javaparser-162 with 17 faults, 270 failures, 799 passing Test Cases and 2649 relevant methods.
Building next faulty Version javaparser-163 with 17 faults, 185 failures, 884 passing Test Cases and 2614 relevant methods.
Building next faulty Version javaparser-164 with 17 faults, 342 failures, 727 passing Test Cases and 2821 relevant methods.
Building next faulty Version javaparser-165 with 17 faults, 222 failures, 847 passing Test Cases and 2694 relevant methods.
Building next faulty Version javaparser-166 with 17 faults, 115 failures, 954 passing Test Cases and 2524 relevant methods.
Building next faulty Version javaparser-167 with 17 faults, 210 failures, 859 passing Test Cases and 2811 relevant methods.
Building next faulty Version javaparser-168 with 17 faults, 200 failures, 869 passing Test Cases and 2518 relevant methods.
Building next faulty Version javaparser-169 with 17 faults, 235 failures, 834 passing Test Cases and 2688 relevant methods.
Building next faulty Version javaparser-170 with 17 faults, 185 failures, 884 passing Test Cases and 2704 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-17.xml
Building next faulty Version javaparser-171 with 18 faults, 506 failures, 563 passing Test Cases and 3017 relevant methods.
Building next faulty Version javaparser-172 with 18 faults, 167 failures, 902 passing Test Cases and 2434 relevant methods.
Building next faulty Version javaparser-173 with 18 faults, 248 failures, 821 passing Test Cases and 2642 relevant methods.
Building next faulty Version javaparser-174 with 18 faults, 545 failures, 524 passing Test Cases and 2979 relevant methods.
Building next faulty Version javaparser-175 with 18 faults, 493 failures, 576 passing Test Cases and 2968 relevant methods.
Building next faulty Version javaparser-176 with 18 faults, 157 failures, 912 passing Test Cases and 2637 relevant methods.
Building next faulty Version javaparser-177 with 18 faults, 121 failures, 948 passing Test Cases and 2616 relevant methods.
Building next faulty Version javaparser-178 with 18 faults, 519 failures, 550 passing Test Cases and 2952 relevant methods.
Building next faulty Version javaparser-179 with 18 faults, 419 failures, 650 passing Test Cases and 2902 relevant methods.
Building next faulty Version javaparser-180 with 18 faults, 386 failures, 683 passing Test Cases and 2811 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-18.xml
Building next faulty Version javaparser-181 with 19 faults, 96 failures, 973 passing Test Cases and 2645 relevant methods.
Building next faulty Version javaparser-182 with 19 faults, 129 failures, 940 passing Test Cases and 2615 relevant methods.
Building next faulty Version javaparser-183 with 19 faults, 179 failures, 890 passing Test Cases and 2591 relevant methods.
Building next faulty Version javaparser-184 with 19 faults, 106 failures, 963 passing Test Cases and 2661 relevant methods.
Building next faulty Version javaparser-185 with 19 faults, 159 failures, 910 passing Test Cases and 2628 relevant methods.
Building next faulty Version javaparser-186 with 19 faults, 117 failures, 952 passing Test Cases and 2574 relevant methods.
Building next faulty Version javaparser-187 with 19 faults, 268 failures, 801 passing Test Cases and 2710 relevant methods.
Building next faulty Version javaparser-188 with 19 faults, 178 failures, 891 passing Test Cases and 2747 relevant methods.
Building next faulty Version javaparser-189 with 19 faults, 466 failures, 603 passing Test Cases and 2951 relevant methods.
Building next faulty Version javaparser-190 with 19 faults, 202 failures, 867 passing Test Cases and 2679 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-19.xml
